rows;2000
cols;2000
its;5
algorithm;P;min;avg;max
build/stencil_mpi/mpi_benchmark_onesided_fence;2;1103.220940;1104.504840;1110.048056
build/stencil_mpi/mpi_benchmark_onesided_fence;4;559.957027;561.731251;564.206123
build/stencil_mpi/mpi_benchmark_onesided_fence;8;266.769171;269.988020;276.728153
build/stencil_mpi/mpi_benchmark_onesided_fence;10;194.934130;197.040534;202.479124
build/stencil_mpi/mpi_benchmark_onesided_fence;12;181.808949;183.428582;190.703154
build/stencil_mpi/mpi_benchmark_onesided_fence;16;138.776064;140.143696;145.900011
build/stencil_mpi/mpi_benchmark_onesided_fence;20;102.222919;103.050129;107.319832
build/stencil_mpi/mpi_benchmark_onesided_fence;24;93.713045;274.389903;370.162964
build/stencil_mpi/mpi_benchmark_onesided_fence;28;81.790924;228.652763;294.872999
build/stencil_mpi/mpi_benchmark_onesided_fence;32;74.851036;194.667021;249.382019
build/stencil_mpi/mpi_benchmark_onesided_fence;34;74.755907;138.697433;159.881115
build/stencil_mpi/mpi_benchmark_onesided_fence;36;69.249868;248.241138;332.978964
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;2142.849922;2160.214607;2199.271917
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;1098.021030;1101.926064;1102.944136
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;555.482864;560.921113;566.325188
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;265.142918;267.241971;274.961948
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;194.694996;196.331366;199.681997
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;180.230856;181.748788;189.090967
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;137.248039;138.123274;143.275976
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;100.706816;101.297688;105.072975
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;91.187954;266.389553;359.114170
build/stencil_mpi/mpi_benchmark_onesided_pscw;28;79.576969;222.861560;294.325829
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;72.525978;199.423838;263.976097
build/stencil_mpi/mpi_benchmark_onesided_pscw;34;70.745945;128.444020;141.373873
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;64.506054;249.242123;339.524984

rows;10000
cols;10000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;3654.909912;3963.051147;4021.425049
build/stencil_sequential/sequential_benchmark_one_vector;1;4257.020996;4301.785156;4358.211914
build/stencil_mpi/mpi_benchmark_sendrecv;1;4208.948851;4314.974173;4758.199930
build/stencil_mpi/mpi_benchmark_sendrecv;2;2144.625902;2152.006372;2166.429996
build/stencil_mpi/mpi_benchmark_sendrecv;4;1093.109846;1096.382284;1127.803087
build/stencil_mpi/mpi_benchmark_sendrecv;8;519.691944;523.983955;538.697004
build/stencil_mpi/mpi_benchmark_sendrecv;10;378.023863;383.523393;399.430037
build/stencil_mpi/mpi_benchmark_sendrecv;12;356.291056;360.027218;373.558998
build/stencil_mpi/mpi_benchmark_sendrecv;16;274.200916;276.321538;288.264990
build/stencil_mpi/mpi_benchmark_sendrecv;20;201.704979;203.111553;213.294029
build/stencil_mpi/mpi_benchmark_sendrecv;24;173.408031;293.763479;368.674040
build/stencil_mpi/mpi_benchmark_sendrecv;28;151.983023;210.363038;238.944054
build/stencil_mpi/mpi_benchmark_sendrecv;32;133.607149;209.407640;276.978970
build/stencil_mpi/mpi_benchmark_sendrecv;34;139.132977;240.698894;331.459999
build/stencil_mpi/mpi_benchmark_sendrecv;36;125.431061;218.097846;307.523012
build/stencil_mpi/mpi_benchmark_nonblocking;1;4331.393003;4359.761985;4429.567099
build/stencil_mpi/mpi_benchmark_nonblocking;2;2141.351938;2167.188152;2195.230961
build/stencil_mpi/mpi_benchmark_nonblocking;4;1073.724985;1084.181595;1094.877958
build/stencil_mpi/mpi_benchmark_nonblocking;8;504.049063;507.849932;520.605087
build/stencil_mpi/mpi_benchmark_nonblocking;10;362.138987;366.107726;372.702837
build/stencil_mpi/mpi_benchmark_nonblocking;12;342.221975;344.300095;354.537010
build/stencil_mpi/mpi_benchmark_nonblocking;16;262.062073;263.514638;269.593000
build/stencil_mpi/mpi_benchmark_nonblocking;20;187.623978;188.720091;194.532871
build/stencil_mpi/mpi_benchmark_nonblocking;24;162.575960;245.870694;286.623955
build/stencil_mpi/mpi_benchmark_nonblocking;28;140.470982;206.458457;232.055902
build/stencil_mpi/mpi_benchmark_nonblocking;32;125.624895;240.368509;323.879004
build/stencil_mpi/mpi_benchmark_nonblocking;34;123.251915;251.041071;358.354092
build/stencil_mpi/mpi_benchmark_nonblocking;36;113.680840;194.519297;229.743958
build/stencil_mpi/mpi_benchmark_onesided_fence;1;4176.376104;4261.476747;4362.460136
build/stencil_mpi/mpi_benchmark_onesided_fence;2;2114.409208;2163.528752;2206.511974
build/stencil_mpi/mpi_benchmark_onesided_fence;4;1081.407070;1090.401244;1106.691122
build/stencil_mpi/mpi_benchmark_onesided_fence;8;520.948172;523.297381;531.240940
build/stencil_mpi/mpi_benchmark_onesided_fence;10;374.656916;379.141188;389.493942
build/stencil_mpi/mpi_benchmark_onesided_fence;12;350.797176;354.325557;363.304853
build/stencil_mpi/mpi_benchmark_onesided_fence;16;267.035007;269.235818;276.902914
build/stencil_mpi/mpi_benchmark_onesided_fence;20;197.674036;199.052612;204.159021
build/stencil_mpi/mpi_benchmark_onesided_fence;24;175.779104;681.544908;901.473045
build/stencil_mpi/mpi_benchmark_onesided_fence;28;154.311895;553.857716;713.160038
build/stencil_mpi/mpi_benchmark_onesided_fence;32;139.490843;464.365196;585.449934
build/stencil_mpi/mpi_benchmark_onesided_fence;34;142.131805;294.151616;321.810961
build/stencil_mpi/mpi_benchmark_onesided_fence;36;129.934072;609.843604;815.139055
