rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_mpi/mpi_benchmark_onesided_fence;10;17.906904;23.483555;42.900085
build/stencil_mpi/mpi_benchmark_onesided_fence;12;15.310049;20.338082;34.147024
build/stencil_mpi/mpi_benchmark_onesided_fence;16;8.228064;14.444915;29.536009
build/stencil_mpi/mpi_benchmark_onesided_fence;20;6.093025;13.458967;31.534195
build/stencil_mpi/mpi_benchmark_onesided_fence;24;5.549192;12.321742;31.483889
build/stencil_mpi/mpi_benchmark_onesided_fence;32;4.595995;11.515625;29.039145
build/stencil_mpi/mpi_benchmark_onesided_fence;36;4.250050;35.600766;71.017981
build/stencil_mpi/mpi_benchmark_onesided_fence;40;3.924131;31.237515;59.675932
build/stencil_mpi/mpi_benchmark_onesided_fence;48;3.438950;29.791133;58.720112
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;150.395155;162.615848;197.937012
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;67.212105;70.017958;92.821836
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;33.131838;38.666622;53.555012
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;26.574850;32.042170;43.498039
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;18.610954;22.906526;36.540985
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;15.419006;23.074563;43.601036
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;7.762194;13.439584;28.181076
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;6.101847;13.498346;31.398058
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;5.402088;12.760218;30.222893
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;3.975868;11.213454;29.125929
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;3.674030;13.069836;31.177044
build/stencil_mpi/mpi_benchmark_onesided_pscw;40;3.314972;10.475381;27.966976
build/stencil_mpi/mpi_benchmark_onesided_pscw;48;2.811193;8.979511;26.950121

rows;2000
cols;2000
its;100
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;1533.306152;1658.549878;1696.286865
build/stencil_sequential/sequential_benchmark_one_vector;1;1471.933105;1512.558911;1551.073975
build/stencil_mpi/mpi_benchmark_sendrecv;1;1516.972065;1526.987028;1541.520834
build/stencil_mpi/mpi_benchmark_sendrecv;2;670.202971;814.744123;1419.950008
build/stencil_mpi/mpi_benchmark_sendrecv;4;328.277111;702.781343;2011.662006
build/stencil_mpi/mpi_benchmark_sendrecv;8;200.644016;708.693838;2215.780973
build/stencil_mpi/mpi_benchmark_sendrecv;10;163.399935;527.283080;1877.406120
build/stencil_mpi/mpi_benchmark_sendrecv;12;96.748114;366.006001;1013.018847
build/stencil_mpi/mpi_benchmark_sendrecv;16;77.731133;500.321015;1888.003111
build/stencil_mpi/mpi_benchmark_sendrecv;20;65.948963;621.545259;2138.244867
build/stencil_mpi/mpi_benchmark_sendrecv;24;54.665089;611.394676;2103.157997
build/stencil_mpi/mpi_benchmark_sendrecv;32;41.522980;453.256027;1654.670954
build/stencil_mpi/mpi_benchmark_sendrecv;36;36.565065;691.622146;1850.718021
build/stencil_mpi/mpi_benchmark_sendrecv;40;32.906055;100.370876;278.968811
build/stencil_mpi/mpi_benchmark_sendrecv;48;46.952009;697.536739;1726.493835
build/stencil_mpi/mpi_benchmark_nonblocking;1;1484.848022;1537.462735;1592.111111
build/stencil_mpi/mpi_benchmark_nonblocking;2;664.827108;805.701884;1404.165983
build/stencil_mpi/mpi_benchmark_nonblocking;4;330.820084;663.822889;1909.222126
build/stencil_mpi/mpi_benchmark_nonblocking;8;169.272900;745.192266;2309.124947
build/stencil_mpi/mpi_benchmark_nonblocking;10;133.001089;539.246766;1940.124035
build/stencil_mpi/mpi_benchmark_nonblocking;12;130.423069;368.098609;911.422014
build/stencil_mpi/mpi_benchmark_nonblocking;16;80.447197;571.210567;2030.588865
build/stencil_mpi/mpi_benchmark_nonblocking;20;67.391157;127.705145;319.175005
build/stencil_mpi/mpi_benchmark_nonblocking;24;51.598072;629.132811;2184.479952
build/stencil_mpi/mpi_benchmark_nonblocking;32;40.997982;509.739097;1710.121870
build/stencil_mpi/mpi_benchmark_nonblocking;36;33.632994;522.145303;1974.215984
build/stencil_mpi/mpi_benchmark_nonblocking;40;37.669897;702.634637;1629.923820
build/stencil_mpi/mpi_benchmark_nonblocking;48;88.194132;737.180265;1750.275850
build/stencil_mpi/mpi_benchmark_onesided_fence;1;1517.091036;1540.101790;1566.786051
build/stencil_mpi/mpi_benchmark_onesided_fence;2;678.886890;816.890248;1416.020870
build/stencil_mpi/mpi_benchmark_onesided_fence;4;333.625793;785.351864;2181.452990
build/stencil_mpi/mpi_benchmark_onesided_fence;8;202.940941;769.622223;2339.758158
build/stencil_mpi/mpi_benchmark_onesided_fence;10;139.147043;630.996505;2128.033876
build/stencil_mpi/mpi_benchmark_onesided_fence;12;122.647047;699.253790;2273.408890
build/stencil_mpi/mpi_benchmark_onesided_fence;16;82.051039;572.051040;2031.666040
build/stencil_mpi/mpi_benchmark_onesided_fence;20;76.641083;707.457089;2310.157061
build/stencil_mpi/mpi_benchmark_onesided_fence;24;60.711145;636.045718;2188.730001
build/stencil_mpi/mpi_benchmark_onesided_fence;32;42.038202;590.309350;1822.522879
build/stencil_mpi/mpi_benchmark_onesided_fence;36;43.888092;862.334275;2205.820084
build/stencil_mpi/mpi_benchmark_onesided_fence;40;45.344114;1104.650187;2116.415977
build/stencil_mpi/mpi_benchmark_onesided_fence;48;43.560982;1027.092600;1883.402109
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;1510.587931;1541.764998;1583.914042
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;669.255018;821.153347;1453.275204
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;331.747055;738.945134;2084.843874
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;198.230028;762.911431;2327.813148
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;135.743141;615.939959;2099.190950
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;119.873047;692.061615;2277.599096
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;77.888012;557.079744;2033.099890
